selection_order,candidate_id,half_life_days,prior_strength_core_events,translation_variant,fold_count,mean_baseline1_log_loss,mean_baseline1_brier,mean_baseline1_minus_baseline0_log_loss,mean_baseline1_minus_baseline0_brier,baseline1_log_loss_win_fold_count,baseline1_brier_win_fold_count,best_fold_baseline1_log_loss,worst_fold_baseline1_log_loss,best_fold_baseline1_brier,worst_fold_baseline1_brier,mean_abs_calibration_intercept_error,mean_abs_calibration_slope_error,mean_ece,mean_b1_minus_b0_abs_intercept_error,mean_b1_minus_b0_abs_slope_error,mean_b1_minus_b0_ece,proper_score_pareto_frontier,log_loss_rank,brier_rank
1,hl180_ps100_fitted,180.0,100.0,fitted_translation,6,2.255543493391022,0.8692325376421585,-0.017597560351503654,-0.004643159797001195,6,6,2.2504115941521707,2.26061713355632,0.8675763409923706,0.8702750174687008,0.5657211626722828,0.20612945882799225,0.0031741163380623913,-0.28583733747368295,-0.12319684913590044,0.00037708188724118143,true,1,1
2,hl90_ps100_fitted,90.0,100.0,fitted_translation,6,2.2558059310590126,0.8693655375020025,-0.017511565646886718,-0.004543501131311782,6,6,2.250788227666405,2.260881571509046,0.8677625583688775,0.8703961791228583,0.519582743956575,0.1912550145919568,0.00359485917225553,-0.32422342943742183,-0.13409304633097627,0.00041444806080531433,false,2,5
3,hl180_ps100_zero,180.0,100.0,zero_offset_translation,6,2.256024999096481,0.8693449138251426,-0.016926103668716348,-0.004378865095169326,6,6,2.2509031393199597,2.259619220340811,0.8676684669789729,0.870223846418727,0.5669768810807114,0.2061352938599504,0.0034207857430326363,-0.22548099430564753,-0.09042729297702812,0.0006908846464286316,false,3,4
4,hl90_ps100_zero,90.0,100.0,zero_offset_translation,6,2.2562659830779253,0.8694739377526345,-0.01689432797572003,-0.004298936812049792,6,6,2.2512414000820864,2.259884707486334,0.867846547473126,0.8702978060469734,0.5315541979836523,0.19753315235100455,0.003839735481963566,-0.25272918253633897,-0.09457973455306505,0.0006896700751410494,false,4,7
5,hl180_ps200_fitted,180.0,200.0,fitted_translation,6,2.256397554528616,0.8697048935048509,-0.01674349921390957,-0.004170803934308816,6,6,2.2517036808461066,2.2614163857284852,0.8682002118529846,0.8707384027561266,0.4553566758145033,0.1906092713541304,0.0033882043210607025,-0.39620182433146245,-0.1387170366097623,0.0005911698702394929,false,5,10
6,hl180_ps200_zero,180.0,200.0,zero_offset_translation,6,2.256706474466412,0.869756149802719,-0.01624462829878544,-0.00396762911759289,6,6,2.2520921190613277,2.2601586912499534,0.8682587080898642,0.8706001142831711,0.49813390895701276,0.215718933599234,0.003605634074930281,-0.29432396642934616,-0.08084365323774455,0.0008757329783262765,false,6,12
7,hl90_ps50_fitted,90.0,50.0,fitted_translation,6,2.2570554696494156,0.8693138534145436,-0.016262027056483868,-0.004595185218770541,6,6,2.251739004450169,2.2622060244613014,0.8675833681627624,0.870343074830415,0.8047573336373522,0.2883770429036223,0.003693674256453524,-0.03904883975664458,-0.03697101801931069,0.0005132631450033081,false,7,3
8,hl45_ps100_fitted,45.0,100.0,fitted_translation,6,2.2572432067622232,0.8697981975817082,-0.016617788072547175,-0.00422249363446997,6,6,2.252499554580399,2.2619906823523555,0.8682992746804232,0.8707384501322115,0.487802739866462,0.18910749140945995,0.004459793021985698,-0.34894682162864915,-0.13195080070195234,0.0004496530551950522,false,8,13
9,hl90_ps200_fitted,90.0,200.0,fitted_translation,6,2.257278744298716,0.8699580229679919,-0.016038752407183814,-0.003951015665322466,6,6,2.2527091582431984,2.2621366954478077,0.868502986389611,0.8709395525208761,0.5067705190650494,0.2160300786074002,0.003836345403683158,-0.33703565432894744,-0.10931798231553284,0.0006559342922329425,false,9,15
10,hl180_ps50_fitted,180.0,50.0,fitted_translation,6,2.257282316212095,0.8692766328425762,-0.015858737530430506,-0.004599064596583491,6,6,2.2519077255666056,2.2623732262744745,0.8674990345760676,0.8702985226212917,0.860414152752019,0.30909071015260897,0.003422252931686857,0.008855652606053402,-0.02023559781128374,0.000625218480865648,false,10,2
